timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim
2025-11-27T13:24:02.588910+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,2,0,150,0,0.0,2,150,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.588910+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,3,0,225,0,0.0,3,225,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589010+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,4,1,300,75,0.0,5,375,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589010+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,5,1,375,75,0.0,6,450,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589010+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,6,1,450,75,0.0,7,525,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589046+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,7,4,525,300,0.0,11,825,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589130+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,8,5,600,375,0.0,13,975,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589131+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,9,5,675,375,0.0,14,1050,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.589157+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,10,7,750,525,0.0,17,1275,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:02.599505+0000,10.0.1.219,10.0.1.255,137,137,UDP,flow,failed,542079911007141.0,,1,1,0,92,0,0.0,1,92,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:03.630313+0000,193.34.213.150,10.0.9.71,34085,9000,TCP,flow,,538559608795520.0,,1,1,6,60,348,31.0,7,408,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:03.640245+0000,45.135.232.194,10.0.9.71,57114,8443,TCP,flow,,612944648415649.0,,1,4,0,264,0,7.0,4,264,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:04.522867+0000,10.0.9.71,185.196.11.84,25,50951,TCP,alert,smtp,1335690975875964.0,wire/pcap,1,3,3,191,250,0.0,6,441,1,Generic Protocol Command Decode,3,SURICATA Applayer Detect protocol only one direction,2260002,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:04.522867+0000,10.0.9.71,185.196.11.84,25,50951,TCP,anomaly,,1335690975875964.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:08.267756+0000,185.218.84.24,10.0.9.71,40628,64295,TCP,ssh,,713612227472222.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:09.649650+0000,134.199.198.136,10.0.9.71,52756,5900,TCP,alert,rfb,551712540570623.0,stream (flow timeout),1,5,5,350,350,0.0,10,700,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:09.649941+0000,134.199.198.136,10.0.9.71,52756,5900,TCP,flow,rfb,551712540570623.0,,1,5,5,350,350,0.0,10,700,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:13.556076+0000,115.231.78.3,10.0.9.71,33015,21,TCP,flow,failed,655622163607922.0,,1,7,5,488,475,20.0,12,963,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:13.565469+0000,45.135.232.194,10.0.9.71,56109,8443,TCP,flow,,1651496502963584.0,,1,4,0,264,0,7.0,4,264,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:16.063980+0000,91.231.222.171,10.0.9.71,39080,64295,TCP,ssh,,446048637630276.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:16.568995+0000,134.199.198.136,10.0.9.71,44104,5900,TCP,alert,rfb,42622141828144.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:16.815718+0000,134.199.198.136,10.0.9.71,44104,5900,TCP,rfb,,42622141828144.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:17.584673+0000,107.149.138.164,10.0.9.71,35330,5900,TCP,rfb,,58003636388007.0,stream (flow timeout),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:17.584846+0000,107.149.138.164,10.0.9.71,35330,5900,TCP,flow,rfb,58003636388007.0,,1,5,3,338,218,1.0,8,556,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:19.184779+0000,185.218.84.30,10.0.9.71,60540,64295,TCP,ssh,,1973650327362476.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:19.614347+0000,118.196.64.94,10.0.9.71,42262,5900,TCP,alert,rfb,582103882630199.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:19.960520+0000,118.196.64.94,10.0.9.71,42262,5900,TCP,rfb,,582103882630199.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:20.443231+0000,185.218.84.21,10.0.9.71,39248,64295,TCP,ssh,,2080496709118647.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:22.524877+0000,107.149.138.164,10.0.9.71,35346,5900,TCP,alert,rfb,332615007078497.0,stream (flow timeout),1,5,5,350,350,0.0,10,700,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:24:22.525073+0000,107.149.138.164,10.0.9.71,35346,5900,TCP,flow,rfb,332615007078497.0,,1,5,5,350,350,0.0,10,700,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:23.127936+0000,185.218.84.16,10.0.9.71,38756,64295,TCP,ssh,,695131001162698.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:24.406863+0000,107.149.138.164,10.0.9.71,45288,5900,TCP,alert,rfb,5959600878811.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
